#$\tau$ in ms    $M$ in mV    $M/2$ in mV   x1 in ms    x2 in ms
0.1     1.075   537.5       0.164     0.250
1.0     1.075   537.5       1.963     2.050
2.0     1.075   537.5       3.960     4.050
3.0     1.075   537.5       5.960     6.050
4.2     1.025   500.0       8.162     8.251
5.0     975     487.5       9.962     10.053
6.0     973.5   468.75      11.962    12.044
7.0     850.0   425.0       13.695    14.051
8.0     750.0   375.0       15.690    16.046
9.0     638.0   319.0       17.960    18.051
10.0    555.5   277.75      19.963    20.043
11.0    437.25  218.625     21.965    22.047
12.0    346.5   173.25      23.962    24.049
13.0    250.25  125.125     25.965    26.043
14.0    178.75  89.375      27.971    28.045
15.0    142.8   71.4        29.766    29.848
16.0    96.525  48.2625     31.970    32.040
17.0    67.925  33.9625     33.970    34.041
