#U_E = 50 mV; Sinus; R_1 = 1kOhm; R_2 = 100 kOhm
#Frequenz in Hz  U_A in V   {Phase: Position U_E Max (Cursor1)   Position U_A Max (Cursor2) in micro s}
#                 micro sekunden
100       5       6400     11500
250       5       -1080     960
500       5       -680      360
750       5       260       910
1000      5       210       680
2500      5       84        264
5000      4.2     52        136            
7500      4       30        82            
10000     4       22        63
25000     2.5     7.6       21.2
50000     1.5     4         9.6
75000     1       -10.3     -6.6     
100000    0.75    -8        -5.3
250000    0.3     -3.2      -2.24        
500000    0.1     -1.54     -1.22
750000    0.075   -1.32     -1.12
1000000   0.05    -2.86     -2.78
