#U_E = 75 mV; Sinus; R_1 = 10kOhm; R_2 = 100 kOhm
#Frequenz in Hz  U_A in V   {Phase: Position U_E Max (Cursor1)   Position U_A Max (Cursor2) in micro s}
#                           (90 Grad verschoben)
100         0.75          0           5000  
250         0.75          0           2000
500         0.75        -1580        -580
750         0.75         290          930
1000        0.75         210          710
2500        0.75         88           280
5000        0.75         42           142
7500        0.75         30           94
10000       0.75         21           70
25000       0.75        -31.2        -13.2
50000       0.60        -15.6        -7.2
75000       0.50        -10.6        -5.4
100000      0.50        -7.9         -4.2
250000      0.25        -3.4         -2.3    
500000      0.15        -1.74        -1.4
750000      0.10        -1.24        -1.08
1000000     0.05          0            0    
#                            in Phase
